modelo,parametros,exactitud,latencia_s,input_tokens,output_tokens,reasoning_tokens,costo_usd
gpt-4o-mini,"{""temperature"": 0.2}",1.0,1.1804444444444444,83.0,6.0,0.0,0.00014445000000000001
gpt-4o-mini,"{""temperature"": 1.2}",1.0,0.9656666666666668,83.0,6.0,0.0,0.00014445000000000001
gpt-4o-mini,"{""top_p"": 0.5}",1.0,1.094,83.0,6.0,0.0,0.00014445000000000001
gpt-4o-mini,"{""top_p"": 1.0}",1.0,1.0664444444444443,83.0,6.0,0.0,0.00014445000000000001
qwen3:1.7b,"{""temperature"": 0.2}",1.0,4.241333333333333,72.0,52.5,0.0,0.0
qwen3:1.7b,"{""temperature"": 1.2}",1.0,6.2860000000000005,72.0,53.333333333333336,0.0,0.0
qwen3:1.7b,"{""top_k"": 5}",1.0,5.642333333333333,72.0,51.5,0.0,0.0
qwen3:1.7b,"{""top_p"": 0.5}",1.0,6.1386666666666665,72.0,53.0,0.0,0.0
qwen3:1.7b,"{""top_p"": 1.0}",1.0,5.682166666666667,72.0,51.666666666666664,0.0,0.0
